application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
UP202526000006830,0.9092658,0.0,,0.0005706586662274894,"misc_fee,c_course_year,permanent_pincode"
WB202526000006848,0.96551657,0.0,,7.968734783298122e-05,"x_course_year,x_university_id,age_at_registration"
WB202526000011388,0.98524904,0.0,,0.00016726921591588242,"x_course_year,competitive_exam_year,x_university_id"
AS202526000011371,0.97891706,0.0,,0.001599812049554805,"x_course_year,x_university_id,mobile_no"
AS202526000011462,0.9530103,0.0,,0.0001585545546891865,"annual_family_income,x_course_year,xii_university_id"
AS202526000011449,0.94941896,2.0,"X13_X21,X13_FLAG",0.9997951881358074,"flag_income_below_20000,name_similarity_score,vae_reconstruction_prob"
KL202526000011482,0.97931886,0.0,,0.00027284975149994965,"xii_percentage,x_course_year,permanent_pincode"
JH202526000011504,0.9295142,0.0,,0.00016553287296063583,"x_course_year,xii_university_id,x_university_id"
UP202526000011547,0.8893466,3.0,"X13_X21,X13_FLAG,INCOME_EXTREME",0.9978960518364971,"flag_income_below_20000,ip_to_mobile_ratio,xii_percentage"
BR202526000011527,0.97278553,0.0,,0.03136037564033666,"x_university_id,disability_percentage,xii_university_id"
AS202526000011798,0.9864349,0.0,,0.0017675251391513003,"vae_reconstruction_prob,x_course_year,x_university_id"
KA202526000011778,0.9576726,0.0,,0.0011293621310938852,"permanent_pincode,vae_reconstruction_prob,flag_income_below_20000"
BR202526000011809,0.97507834,0.0,,0.014502601955277175,"x_university_id,x_course_year,xii_university_id"
BR202526000012055,0.97973275,0.0,,0.4267199188434678,"x_university_id,xii_university_id,permanent_pincode"
BR202526000012125,0.96871275,0.0,,0.33194685217062087,"x_university_id,xii_university_id,x_course_year"
MN202526000012163,0.96467406,0.0,,0.0008173768857255135,"religion,state_verify_by,x_course_year"
AS202526000012371,0.9500234,0.0,,0.010081004715863102,"x_university_id,vae_reconstruction_prob,flag_income_below_20000"
JH202526000012366,0.9413479,0.0,,0.0028527480457026405,"x_university_id,c_course_year,permanent_pincode"
AS202526000012565,0.97737557,0.0,,0.0006352071150020538,"c_course_year,x_university_id,x_course_year"
RJ202526000012570,0.9265665,0.0,,0.0002121470579710948,"c_course_year,xii_percentage,xii_university_id"
KA202526000012724,0.9751421,0.0,,0.00016870600826575632,"annual_family_income,c_course_year,c_institution_id"
DL202526000012755,0.9472029,0.0,,0.0003921325864801498,"permanent_pincode,xii_university_id,x_university_id"
