application_id,vae_reconstruction_prob,rule_violation_score,rule_codes_fired,lgbm_risk_score,top_shap_features
AS202526000011449,0.940342,2.0,"X13_X21,X13_FLAG",0.9998763455666559,"flag_income_below_20000,xii_percentage,age_at_registration"
KL202526000011482,0.97980964,0.0,,0.00021403371203613665,"xii_percentage,x_course_year,vae_reconstruction_prob"
JH202526000011504,0.9310518,0.0,,0.0002788290372685862,"x_course_year,x_university_id,tution_fee"
UP202526000011547,0.8921968,3.0,"X13_X21,X13_FLAG,INCOME_EXTREME",0.999383410699586,"flag_income_below_20000,ip_application_count,xii_percentage"
BR202526000011527,0.96448666,0.0,,0.003725288575935924,"x_university_id,x_course_year,disability_percentage"
AS202526000011798,0.9839204,0.0,,0.0016433304099606478,"name_similarity_score,misc_fee,x_course_year"
KA202526000011778,0.9561701,0.0,,0.0011567483182923753,"permanent_pincode,xii_university_id,xii_percentage"
BR202526000011809,0.9753953,0.0,,0.03708961242308546,"x_university_id,permanent_pincode,state_verify_by"
BR202526000012055,0.9788216,0.0,,0.7427252453293423,"x_university_id,state_verify_by,permanent_pincode"
BR202526000012125,0.97246814,0.0,,0.3475364250143539,"x_university_id,state_verify_by,c_institution_id"
MN202526000012163,0.91832924,0.0,,0.0006534818800787124,"religion,c_institution_id,x_course_year"
AS202526000012371,0.9668924,0.0,,0.0127153659976196,"x_course_year,age_at_registration,x_university_id"
JH202526000012366,0.9404133,0.0,,0.001979835437658324,"xii_percentage,misc_fee,age_at_registration"
AS202526000012565,0.9782544,0.0,,0.00048455202369526447,"c_course_year,x_course_year,x_percentage"
RJ202526000012570,0.931141,0.0,,0.0001554697405278193,"xii_percentage,x_university_id,permanent_pincode"
KA202526000012724,0.9759801,0.0,,9.413685039015091e-05,"annual_family_income,x_course_year,c_institution_id"
DL202526000012755,0.93450534,0.0,,0.003780928402768132,"x_university_id,vae_reconstruction_prob,permanent_pincode"
AS202526000012827,0.98249435,0.0,,0.009745201248105547,"x_university_id,xii_percentage,flag_income_below_20000"
BR202526000012832,0.9723846,4.0,"UN,UN_AGG",0.9995572181099619,"mobile_unique_fathers_count,mobile_application_count,x_university_id"
OR202526000012840,0.9695339,0.0,,0.012764672081927586,"tution_fee,ip_application_count,age_at_registration"
AP202526000012843,0.962458,0.0,,0.0012960215157951979,"pfms_district_code,xii_university_id,vae_reconstruction_prob"
GJ202526000006974,0.95633787,0.0,,0.016097459255613945,"x_course_year,permanent_pincode,x_university_id"
PB202526000007072,0.95148695,0.0,,0.0013471902825076606,"permanent_pincode,x_university_id,state_verify_by"
TS202526000007084,0.9506603,0.0,,0.00034888454051539534,"xii_percentage,pfms_district_code,tution_fee"
